gene_id,COG_category,GOs,KEGG_Pathway,PFAMs
jgi|Chloso1602_1|10016|rna-gnl|WGS:LHPG|mrna.C2E21_4966,NA,NA,NA,NA
jgi|Chloso1602_1|10017|rna-gnl|WGS:LHPG|mrna.C2E21_4967,NA,NA,NA,NA
jgi|Chloso1602_1|10018|rna-gnl|WGS:LHPG|mrna.C2E21_4968,NA,NA,NA,NA
jgi|Chloso1602_1|10019|rna-gnl|WGS:LHPG|mrna.C2E21_4969,NA,NA,NA,NA
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0003674,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005488,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005496,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005543,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005575,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005622,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005623,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0005737,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0006950,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0006970,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0008150,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0008289,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0008429,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009605,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009606,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009628,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009629,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009630,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009651,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0009958,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0032934,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0043167,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0043168,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0044424,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0044464,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0050896,-,E1_DerP2_DerF2
jgi|Chloso1602_1|1001|rna-gnl|WGS:LHPG|mrna.C2E21_5534,CH,GO:0097159,-,E1_DerP2_DerF2
jgi|Chloso1602_1|10020|rna-gnl|WGS:LHPG|mrna.C2E21_4970,NA,NA,NA,NA
jgi|Chloso1602_1|10021|rna-gnl|WGS:LHPG|mrna.C2E21_4971,NA,NA,NA,NA
jgi|Chloso1602_1|10022|rna-gnl|WGS:LHPG|mrna.C2E21_4972,NA,NA,NA,NA
jgi|Chloso1602_1|10023|rna-gnl|WGS:LHPG|mrna.C2E21_4973,NA,NA,NA,NA
jgi|Chloso1602_1|10024|rna-gnl|WGS:LHPG|mrna.C2E21_4974,NA,NA,NA,NA
jgi|Chloso1602_1|10025|rna-gnl|WGS:LHPG|mrna.C2E21_4975,NA,NA,NA,NA
jgi|Chloso1602_1|10026|rna-gnl|WGS:LHPG|mrna.C2E21_4976,NA,NA,NA,NA
jgi|Chloso1602_1|10027|rna-gnl|WGS:LHPG|mrna.C2E21_4977,NA,NA,NA,NA
jgi|Chloso1602_1|10028|rna-gnl|WGS:LHPG|mrna.C2E21_4978,NA,NA,NA,NA
jgi|Chloso1602_1|10029|rna-gnl|WGS:LHPG|mrna.C2E21_4979,NA,NA,NA,NA
jgi|Chloso1602_1|1002|rna-gnl|WGS:LHPG|mrna.C2E21_5535,NA,NA,NA,NA
jgi|Chloso1602_1|10030|rna-gnl|WGS:LHPG|mrna.C2E21_4980,S,-,-,"DUF1929,Glyoxal_oxid_N"
jgi|Chloso1602_1|10031|rna-gnl|WGS:LHPG|mrna.C2E21_4981,NA,NA,NA,NA
jgi|Chloso1602_1|10032|rna-gnl|WGS:LHPG|mrna.C2E21_4982,NA,NA,NA,NA
jgi|Chloso1602_1|10033|rna-gnl|WGS:LHPG|mrna.C2E21_4983,O,-,"ko04120,ko04214,ko04215,map04120,map04214,map04215","UQ_con,Ufd2P_core"
jgi|Chloso1602_1|10034|rna-gnl|WGS:LHPG|mrna.C2E21_4984,NA,NA,NA,NA
jgi|Chloso1602_1|10035|rna-gnl|WGS:LHPG|mrna.C2E21_4985,NA,NA,NA,NA
jgi|Chloso1602_1|10036|rna-gnl|WGS:LHPG|mrna.C2E21_4986,NA,NA,NA,NA
jgi|Chloso1602_1|10037|rna-gnl|WGS:LHPG|mrna.C2E21_4987,NA,NA,NA,NA
jgi|Chloso1602_1|10038|rna-gnl|WGS:LHPG|mrna.C2E21_4988,NA,NA,NA,NA
jgi|Chloso1602_1|10039|rna-gnl|WGS:LHPG|mrna.C2E21_4989,NA,NA,NA,NA
jgi|Chloso1602_1|1003|rna-gnl|WGS:LHPG|mrna.C2E21_5536,NA,NA,NA,NA
jgi|Chloso1602_1|10040|rna-gnl|WGS:LHPG|mrna.C2E21_4990,NA,NA,NA,NA
jgi|Chloso1602_1|10041|rna-gnl|WGS:LHPG|mrna.C2E21_4991,NA,NA,NA,NA
jgi|Chloso1602_1|10042|rna-gnl|WGS:LHPG|mrna.C2E21_4992,NA,NA,NA,NA
jgi|Chloso1602_1|10043|rna-gnl|WGS:LHPG|mrna.C2E21_4993,NA,NA,NA,NA
jgi|Chloso1602_1|10044|rna-gnl|WGS:LHPG|mrna.C2E21_4994B_C2E21_4994,NA,NA,NA,NA
jgi|Chloso1602_1|10045|rna-gnl|WGS:LHPG|mrna.C2E21_4994A_C2E21_4994,NA,NA,NA,NA
jgi|Chloso1602_1|10046|rna-gnl|WGS:LHPG|mrna.C2E21_4995,NA,NA,NA,NA
jgi|Chloso1602_1|10047|rna-gnl|WGS:LHPG|mrna.C2E21_4996,NA,NA,NA,NA
jgi|Chloso1602_1|10048|rna-gnl|WGS:LHPG|mrna.C2E21_4997,-,-,-,-
jgi|Chloso1602_1|10049|rna-gnl|WGS:LHPG|mrna.C2E21_4998,NA,NA,NA,NA
jgi|Chloso1602_1|1004|rna-gnl|WGS:LHPG|mrna.C2E21_5537,NA,NA,NA,NA
jgi|Chloso1602_1|10050|rna-gnl|WGS:LHPG|mrna.C2E21_4999,NA,NA,NA,NA
jgi|Chloso1602_1|10051|rna-gnl|WGS:LHPG|mrna.C2E21_5000,NA,NA,NA,NA
jgi|Chloso1602_1|10052|rna-gnl|WGS:LHPG|mrna.C2E21_5001,NA,NA,NA,NA
jgi|Chloso1602_1|10053|rna-gnl|WGS:LHPG|mrna.C2E21_5002,NA,NA,NA,NA
jgi|Chloso1602_1|10054|rna-gnl|WGS:LHPG|mrna.C2E21_5003,NA,NA,NA,NA
jgi|Chloso1602_1|10055|rna-gnl|WGS:LHPG|mrna.C2E21_5004B_C2E21_5004,J,-,"ko03060,map03060",SRP68
jgi|Chloso1602_1|10056|rna-gnl|WGS:LHPG|mrna.C2E21_5004A_C2E21_5004,J,-,"ko03060,map03060",SRP68
jgi|Chloso1602_1|10057|rna-gnl|WGS:LHPG|mrna.C2E21_5005,NA,NA,NA,NA
jgi|Chloso1602_1|10058|rna-gnl|WGS:LHPG|mrna.C2E21_5006,NA,NA,NA,NA
jgi|Chloso1602_1|10059|rna-gnl|WGS:LHPG|mrna.C2E21_5007,NA,NA,NA,NA
jgi|Chloso1602_1|1005|rna-gnl|WGS:LHPG|mrna.C2E21_5538A_C2E21_5538,NA,NA,NA,NA
jgi|Chloso1602_1|10060|rna-gnl|WGS:LHPG|mrna.C2E21_5008,NA,NA,NA,NA
jgi|Chloso1602_1|10061|rna-gnl|WGS:LHPG|mrna.C2E21_5009,NA,NA,NA,NA
jgi|Chloso1602_1|10062|rna-gnl|WGS:LHPG|mrna.C2E21_5010,C,-,"ko00620,ko00710,ko01100,ko01120,ko01200,map00620,map00710,map01100,map01120,map01200","Malic_M,malic"
jgi|Chloso1602_1|10063|rna-gnl|WGS:LHPG|mrna.C2E21_5011,NA,NA,NA,NA
jgi|Chloso1602_1|10064|rna-gnl|WGS:LHPG|mrna.C2E21_5012,B,-,"ko04218,map04218","CAF1C_H4-bd,WD40"
jgi|Chloso1602_1|10065|rna-gnl|WGS:LHPG|mrna.C2E21_5013,NA,NA,NA,NA
jgi|Chloso1602_1|10066|rna-gnl|WGS:LHPG|mrna.C2E21_5014,P,-,-,Cytochrom_B561
jgi|Chloso1602_1|10067|rna-gnl|WGS:LHPG|mrna.C2E21_5015,H,-,"ko00770,ko01100,map00770,map01100",DUF89
jgi|Chloso1602_1|10068|rna-gnl|WGS:LHPG|mrna.C2E21_5016,NA,NA,NA,NA
jgi|Chloso1602_1|10069|rna-gnl|WGS:LHPG|mrna.C2E21_5017,NA,NA,NA,NA
jgi|Chloso1602_1|1006|rna-gnl|WGS:LHPG|mrna.C2E21_5538B_C2E21_5538,NA,NA,NA,NA
jgi|Chloso1602_1|10070|rna-gnl|WGS:LHPG|mrna.C2E21_5018,NA,NA,NA,NA
jgi|Chloso1602_1|10071|rna-gnl|WGS:LHPG|mrna.C2E21_5019,NA,NA,NA,NA
jgi|Chloso1602_1|10072|rna-gnl|WGS:LHPG|mrna.C2E21_5020,NA,NA,NA,NA
jgi|Chloso1602_1|10073|rna-gnl|WGS:LHPG|mrna.C2E21_5021,NA,NA,NA,NA
jgi|Chloso1602_1|10074|rna-gnl|WGS:LHPG|mrna.C2E21_5022,NA,NA,NA,NA
jgi|Chloso1602_1|10075|rna-gnl|WGS:LHPG|mrna.C2E21_5023,NA,NA,NA,NA
jgi|Chloso1602_1|10076|rna-gnl|WGS:LHPG|mrna.C2E21_5024,NA,NA,NA,NA
jgi|Chloso1602_1|10077|rna-gnl|WGS:LHPG|mrna.C2E21_5025,NA,NA,NA,NA
jgi|Chloso1602_1|10078|rna-gnl|WGS:LHPG|mrna.C2E21_5026,NA,NA,NA,NA
jgi|Chloso1602_1|10079|rna-gnl|WGS:LHPG|mrna.C2E21_5027,J,-,-,"GTP_EFTU,RIBIOP_C"
jgi|Chloso1602_1|1007|rna-gnl|WGS:LHPG|mrna.C2E21_5539,NA,NA,NA,NA
jgi|Chloso1602_1|10080|rna-gnl|WGS:LHPG|mrna.C2E21_5028A_C2E21_5028,NA,NA,NA,NA
jgi|Chloso1602_1|10081|rna-gnl|WGS:LHPG|mrna.C2E21_5028B_C2E21_5028,NA,NA,NA,NA
jgi|Chloso1602_1|10082|rna-gnl|WGS:LHPG|mrna.C2E21_5029,NA,NA,NA,NA
jgi|Chloso1602_1|10083|rna-gnl|WGS:LHPG|mrna.C2E21_5030,NA,NA,NA,NA
jgi|Chloso1602_1|10084|rna-gnl|WGS:LHPG|mrna.C2E21_5031,NA,NA,NA,NA
jgi|Chloso1602_1|10085|rna-gnl|WGS:LHPG|mrna.C2E21_5032,NA,NA,NA,NA
jgi|Chloso1602_1|10086|rna-gnl|WGS:LHPG|mrna.C2E21_5033,NA,NA,NA,NA
jgi|Chloso1602_1|10087|rna-gnl|WGS:LHPG|mrna.C2E21_5034,NA,NA,NA,NA
jgi|Chloso1602_1|10088|rna-gnl|WGS:LHPG|mrna.C2E21_5035,NA,NA,NA,NA
jgi|Chloso1602_1|10089|rna-gnl|WGS:LHPG|mrna.C2E21_5036,-,-,-,TPR_8
jgi|Chloso1602_1|1008|rna-gnl|WGS:LHPG|mrna.C2E21_5540,NA,NA,NA,NA
jgi|Chloso1602_1|10090|rna-gnl|WGS:LHPG|mrna.C2E21_5037,NA,NA,NA,NA
jgi|Chloso1602_1|10091|rna-gnl|WGS:LHPG|mrna.C2E21_5038,NA,NA,NA,NA
jgi|Chloso1602_1|10092|rna-gnl|WGS:LHPG|mrna.C2E21_5039,NA,NA,NA,NA
jgi|Chloso1602_1|10093|rna-gnl|WGS:LHPG|mrna.C2E21_5040,NA,NA,NA,NA
jgi|Chloso1602_1|10094|rna-gnl|WGS:LHPG|mrna.C2E21_5041,NA,NA,NA,NA
jgi|Chloso1602_1|10095|rna-gnl|WGS:LHPG|mrna.C2E21_5042B_C2E21_5042,NA,NA,NA,NA
jgi|Chloso1602_1|10096|rna-gnl|WGS:LHPG|mrna.C2E21_5042A_C2E21_5042,NA,NA,NA,NA
jgi|Chloso1602_1|10097|rna-gnl|WGS:LHPG|mrna.C2E21_5043,NA,NA,NA,NA
jgi|Chloso1602_1|10098|rna-gnl|WGS:LHPG|mrna.C2E21_5044,NA,NA,NA,NA
jgi|Chloso1602_1|10099|rna-gnl|WGS:LHPG|mrna.C2E21_5045B_C2E21_5045,NA,NA,NA,NA
jgi|Chloso1602_1|1009|rna-gnl|WGS:LHPG|mrna.C2E21_5541,NA,NA,NA,NA
jgi|Chloso1602_1|100|rna-gnl|WGS:LHPG|mrna.C2E21_0088,NA,NA,NA,NA
jgi|Chloso1602_1|10100|rna-gnl|WGS:LHPG|mrna.C2E21_5045A_C2E21_5045,NA,NA,NA,NA
jgi|Chloso1602_1|10101|rna-gnl|WGS:LHPG|mrna.C2E21_5046,E,-,"ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230",Cys_Met_Meta_PP
jgi|Chloso1602_1|10102|rna-gnl|WGS:LHPG|mrna.C2E21_5047,NA,NA,NA,NA
jgi|Chloso1602_1|10103|rna-gnl|WGS:LHPG|mrna.C2E21_5048,NA,NA,NA,NA
jgi|Chloso1602_1|10104|rna-gnl|WGS:LHPG|mrna.C2E21_5049,NA,NA,NA,NA
jgi|Chloso1602_1|10105|rna-gnl|WGS:LHPG|mrna.C2E21_5050,G,-,-,"CIA30,NAD_binding_10"
jgi|Chloso1602_1|10106|rna-gnl|WGS:LHPG|mrna.C2E21_5051,NA,NA,NA,NA
jgi|Chloso1602_1|10107|rna-gnl|WGS:LHPG|mrna.C2E21_5052,NA,NA,NA,NA
jgi|Chloso1602_1|10108|rna-gnl|WGS:LHPG|mrna.C2E21_5053,NA,NA,NA,NA
jgi|Chloso1602_1|10109|rna-gnl|WGS:LHPG|mrna.C2E21_5054B_C2E21_5054,NA,NA,NA,NA
jgi|Chloso1602_1|1010|rna-gnl|WGS:LHPG|mrna.C2E21_5542,NA,NA,NA,NA
jgi|Chloso1602_1|10110|rna-gnl|WGS:LHPG|mrna.C2E21_5054A_C2E21_5054,NA,NA,NA,NA
jgi|Chloso1602_1|10111|rna-gnl|WGS:LHPG|mrna.C2E21_5055,NA,NA,NA,NA
jgi|Chloso1602_1|10112|rna-gnl|WGS:LHPG|mrna.C2E21_5056,NA,NA,NA,NA
jgi|Chloso1602_1|10113|rna-gnl|WGS:LHPG|mrna.C2E21_5057,G,-,"ko00010,ko00052,ko01100,ko01110,ko01120,ko01130,map00010,map00052,map01100,map01110,map01120,map01130",Aldose_epim
jgi|Chloso1602_1|10114|rna-gnl|WGS:LHPG|mrna.C2E21_5058,NA,NA,NA,NA
jgi|Chloso1602_1|10115|rna-gnl|WGS:LHPG|mrna.C2E21_5059,G,-,-,Cupin_2
jgi|Chloso1602_1|10116|rna-gnl|WGS:LHPG|mrna.C2E21_5060,P,-,"ko04218,map04218",TCR
jgi|Chloso1602_1|10117|rna-gnl|WGS:LHPG|mrna.C2E21_5061,NA,NA,NA,NA
jgi|Chloso1602_1|10118|rna-gnl|WGS:LHPG|mrna.C2E21_5062,NA,NA,NA,NA
jgi|Chloso1602_1|10119|rna-gnl|WGS:LHPG|mrna.C2E21_5063,NA,NA,NA,NA
jgi|Chloso1602_1|1011|rna-gnl|WGS:LHPG|mrna.C2E21_5543,NA,NA,NA,NA
jgi|Chloso1602_1|10120|rna-gnl|WGS:LHPG|mrna.C2E21_5064B_C2E21_5064,NA,NA,NA,NA
jgi|Chloso1602_1|10121|rna-gnl|WGS:LHPG|mrna.C2E21_5064A_C2E21_5064,NA,NA,NA,NA
jgi|Chloso1602_1|10122|rna-gnl|WGS:LHPG|mrna.C2E21_5065,NA,NA,NA,NA
jgi|Chloso1602_1|10123|rna-gnl|WGS:LHPG|mrna.C2E21_5066,NA,NA,NA,NA
jgi|Chloso1602_1|10124|rna-gnl|WGS:LHPG|mrna.C2E21_5067,S,-,-,PhyH
jgi|Chloso1602_1|10125|rna-gnl|WGS:LHPG|mrna.C2E21_5068,-,-,-,-
jgi|Chloso1602_1|10126|rna-gnl|WGS:LHPG|mrna.C2E21_5069,S,-,-,"RWD,UPF0029"
jgi|Chloso1602_1|10127|rna-gnl|WGS:LHPG|mrna.C2E21_5070,NA,NA,NA,NA
jgi|Chloso1602_1|10128|rna-gnl|WGS:LHPG|mrna.C2E21_5071,NA,NA,NA,NA
jgi|Chloso1602_1|10129|rna-gnl|WGS:LHPG|mrna.C2E21_5072,NA,NA,NA,NA
jgi|Chloso1602_1|1012|rna-gnl|WGS:LHPG|mrna.C2E21_5544,NA,NA,NA,NA
jgi|Chloso1602_1|10130|rna-gnl|WGS:LHPG|mrna.C2E21_5073,NA,NA,NA,NA
jgi|Chloso1602_1|10131|rna-gnl|WGS:LHPG|mrna.C2E21_5074,NA,NA,NA,NA
jgi|Chloso1602_1|10132|rna-gnl|WGS:LHPG|mrna.C2E21_5075,NA,NA,NA,NA
jgi|Chloso1602_1|10133|rna-gnl|WGS:LHPG|mrna.C2E21_5076,NA,NA,NA,NA
jgi|Chloso1602_1|10134|rna-gnl|WGS:LHPG|mrna.C2E21_5077,NA,NA,NA,NA
jgi|Chloso1602_1|10135|rna-gnl|WGS:LHPG|mrna.C2E21_5078,NA,NA,NA,NA
jgi|Chloso1602_1|10136|rna-gnl|WGS:LHPG|mrna.C2E21_5079,NA,NA,NA,NA
jgi|Chloso1602_1|10137|rna-gnl|WGS:LHPG|mrna.C2E21_5080,NA,NA,NA,NA
jgi|Chloso1602_1|10138|rna-gnl|WGS:LHPG|mrna.C2E21_5081,-,-,-,LRR_9
jgi|Chloso1602_1|10139|rna-gnl|WGS:LHPG|mrna.C2E21_5082,NA,NA,NA,NA
jgi|Chloso1602_1|1013|rna-gnl|WGS:LHPG|mrna.C2E21_5545,NA,NA,NA,NA
jgi|Chloso1602_1|10140|rna-gnl|WGS:LHPG|mrna.C2E21_5083,NA,NA,NA,NA
jgi|Chloso1602_1|10141|rna-gnl|WGS:LHPG|mrna.C2E21_5084,NA,NA,NA,NA
jgi|Chloso1602_1|10142|rna-gnl|WGS:LHPG|mrna.C2E21_5085,NA,NA,NA,NA
jgi|Chloso1602_1|10143|rna-gnl|WGS:LHPG|mrna.C2E21_5086,NA,NA,NA,NA
jgi|Chloso1602_1|10144|rna-gnl|WGS:LHPG|mrna.C2E21_5087,H,-,-,FeThRed_A
jgi|Chloso1602_1|10145|rna-gnl|WGS:LHPG|mrna.C2E21_5088,DTZ,GO:0003674,"ko01040,ko01212,ko03320,ko04014,ko04015,ko04016,ko04020,ko04022,ko04024,ko04070,ko04114,ko04152,ko04212,ko04218,ko04261,ko04270,ko04371,ko04626,ko04713,ko04720,ko04722,ko04728,ko04740,ko04744,ko04745,ko04750,ko04910,ko04912,ko04915,ko04916,ko04921,ko04922,ko04924,ko04925,ko04970,ko04971,ko05010,ko05031,ko05034,ko05133,ko05152,ko05167,ko05200,ko05214,ko05418,map01040,map01212,map03320,map04014,map04015,map04016,map04020,map04022,map04024,map04070,map04114,map04152,map04212,map04218,map04261,map04270,map04371,map04626,map04713,map04720,map04722,map04728,map04740,map04744,map04745,map04750,map04910,map04912,map04915,map04916,map04921,map04922,map04924,map04925,map04970,map04971,map05010,map05031,map05034,map05133,map05152,map05167,map05200,map05214,map05418","EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8"
jgi|Chloso1602_1|10145|rna-gnl|WGS:LHPG|mrna.C2E21_5088,DTZ,GO:0005488,"ko01040,ko01212,ko03320,ko04014,ko04015,ko04016,ko04020,ko04022,ko04024,ko04070,ko04114,ko04152,ko04212,ko04218,ko04261,ko04270,ko04371,ko04626,ko04713,ko04720,ko04722,ko04728,ko04740,ko04744,ko04745,ko04750,ko04910,ko04912,ko04915,ko04916,ko04921,ko04922,ko04924,ko04925,ko04970,ko04971,ko05010,ko05031,ko05034,ko05133,ko05152,ko05167,ko05200,ko05214,ko05418,map01040,map01212,map03320,map04014,map04015,map04016,map04020,map04022,map04024,map04070,map04114,map04152,map04212,map04218,map04261,map04270,map04371,map04626,map04713,map04720,map04722,map04728,map04740,map04744,map04745,map04750,map04910,map04912,map04915,map04916,map04921,map04922,map04924,map04925,map04970,map04971,map05010,map05031,map05034,map05133,map05152,map05167,map05200,map05214,map05418","EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8"
jgi|Chloso1602_1|10145|rna-gnl|WGS:LHPG|mrna.C2E21_5088,DTZ,GO:0005509,"ko01040,ko01212,ko03320,ko04014,ko04015,ko04016,ko04020,ko04022,ko04024,ko04070,ko04114,ko04152,ko04212,ko04218,ko04261,ko04270,ko04371,ko04626,ko04713,ko04720,ko04722,ko04728,ko04740,ko04744,ko04745,ko04750,ko04910,ko04912,ko04915,ko04916,ko04921,ko04922,ko04924,ko04925,ko04970,ko04971,ko05010,ko05031,ko05034,ko05133,ko05152,ko05167,ko05200,ko05214,ko05418,map01040,map01212,map03320,map04014,map04015,map04016,map04020,map04022,map04024,map04070,map04114,map04152,map04212,map04218,map04261,map04270,map04371,map04626,map04713,map04720,map04722,map04728,map04740,map04744,map04745,map04750,map04910,map04912,map04915,map04916,map04921,map04922,map04924,map04925,map04970,map04971,map05010,map05031,map05034,map05133,map05152,map05167,map05200,map05214,map05418","EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8"
jgi|Chloso1602_1|10145|rna-gnl|WGS:LHPG|mrna.C2E21_5088,DTZ,GO:0005575,"ko01040,ko01212,ko03320,ko04014,ko04015,ko04016,ko04020,ko04022,ko04024,ko04070,ko04114,ko04152,ko04212,ko04218,ko04261,ko04270,ko04371,ko04626,ko04713,ko04720,ko04722,ko04728,ko04740,ko04744,ko04745,ko04750,ko04910,ko04912,ko04915,ko04916,ko04921,ko04922,ko04924,ko04925,ko04970,ko04971,ko05010,ko05031,ko05034,ko05133,ko05152,ko05167,ko05200,ko05214,ko05418,map01040,map01212,map03320,map04014,map04015,map04016,map04020,map04022,map04024,map04070,map04114,map04152,map04212,map04218,map04261,map04270,map04371,map04626,map04713,map04720,map04722,map04728,map04740,map04744,map04745,map04750,map04910,map04912,map04915,map04916,map04921,map04922,map04924,map04925,map04970,map04971,map05010,map05031,map05034,map05133,map05152,map05167,map05200,map05214,map05418","EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8"
jgi|Chloso1602_1|10145|rna-gnl|WGS:LHPG|mrna.C2E21_5088,DTZ,GO:0005622,"ko01040,ko01212,ko03320,ko04014,ko04015,ko04016,ko04020,ko04022,ko04024,ko04070,ko04114,ko04152,ko04212,ko04218,ko04261,ko04270,ko04371,ko04626,ko04713,ko04720,ko04722,ko04728,ko04740,ko04744,ko04745,ko04750,ko04910,ko04912,ko04915,ko04916,ko04921,ko04922,ko04924,ko04925,ko04970,ko04971,ko05010,ko05031,ko05034,ko05133,ko05152,ko05167,ko05200,ko05214,ko05418,map01040,map01212,map03320,map04014,map04015,map04016,map04020,map04022,map04024,map04070,map04114,map04152,map04212,map04218,map04261,map04270,map04371,map04626,map04713,map04720,map04722,map04728,map04740,map04744,map04745,map04750,map04910,map04912,map04915,map04916,map04921,map04922,map04924,map04925,map04970,map04971,map05010,map05031,map05034,map05133,map05152,map05167,map05200,map05214,map05418","EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8"
